"Product";"Callebaut";"Price";"Date";"Source"
"Callebaut Chocolade Druppels Melk";"823";19,95;"2025-03-17";"De Notenshop"
"Callebaut Chocolade Druppels Puur 54%";"811";20,95;"2025-03-17";"De Notenshop"
"Callebaut Chocolade Druppels Wit";"W2";18,5;"2025-03-17";"De Notenshop"
"Milk Chocolate Callets: Recipe N° 823";"823";23,36;"2025-03-17";"shop Callebaut"
"Dark Chocolate Callets: Recipe N° 811";"811";24,29;"2025-03-17";"shop Callebaut"
"White Chocolate Callets: Recipe N° W2";"W2";23,36;"2025-03-17";"shop Callebaut"
"Callebaut Chocolade Callets - Melk - 1 kg";"823";27,7;"2025-03-17";"bol"
"Callebaut Chocolade Callets - Puur - 1 kg";"811";37,8;"2025-03-17";"bol"
"Callebaut Chocolade Callets - Wit - 1 kg";"W2";27,4;"2025-03-17";"bol"
"Callebaut Chocolade Druppels Melk";"823";19,95;"20164";"De Notenshop"
"Callebaut Chocolade Druppels Puur 54%";"811";20,95;"20164";"De Notenshop"
"Callebaut Chocolade Druppels Wit";"W2";18,5;"20164";"De Notenshop"
"Milk Chocolate Callets: Recipe N° 823";"823";23,36;"20164";"shop Callebaut"
"Dark Chocolate Callets: Recipe N° 811";"811";24,29;"20164";"shop Callebaut"
"White Chocolate Callets: Recipe N° W2";"W2";23,36;"20164";"shop Callebaut"
"Callebaut Chocolade Callets - Melk - 1 kg";"823";27,7;"20164";"bol"
"Callebaut Chocolade Callets - Puur - 1 kg";"811";37,8;"20164";"bol"
"Callebaut Chocolade Callets - Wit - 1 kg";"W2";27,4;"20164";"bol"
"Callebaut Chocolade Druppels Melk";"823";19,95;"20164";"De Notenshop"
"Callebaut Chocolade Druppels Puur 54%";"811";20,95;"20164";"De Notenshop"
"Callebaut Chocolade Druppels Wit";"W2";18,5;"20164";"De Notenshop"
"Milk Chocolate Callets: Recipe N° 823";"823";23,36;"20164";"shop Callebaut"
"Dark Chocolate Callets: Recipe N° 811";"811";24,29;"20164";"shop Callebaut"
"White Chocolate Callets: Recipe N° W2";"W2";23,36;"20164";"shop Callebaut"
"Callebaut Chocolade Callets - Melk - 1 kg";"823";27,7;"20164";"bol"
"Callebaut Chocolade Callets - Puur - 1 kg";"811";37,8;"20164";"bol"
"Callebaut Chocolade Callets - Wit - 1 kg";"W2";27,4;"20164";"bol"
"Callebaut Chocolade Druppels Melk";"823";19,95;"20164";"De Notenshop"
"Callebaut Chocolade Druppels Puur 54%";"811";20,95;"20164";"De Notenshop"
"Callebaut Chocolade Druppels Wit";"W2";18,5;"20164";"De Notenshop"
"Milk Chocolate Callets: Recipe N° 823";"823";23,36;"20164";"shop Callebaut"
"Dark Chocolate Callets: Recipe N° 811";"811";24,29;"20164";"shop Callebaut"
"White Chocolate Callets: Recipe N° W2";"W2";23,36;"20164";"shop Callebaut"
"Callebaut Chocolade Callets - Melk - 1 kg";"823";27,7;"20164";"bol"
"Callebaut Chocolade Callets - Puur - 1 kg";"811";37,8;"20164";"bol"
"Callebaut Chocolade Callets - Wit - 1 kg";"W2";27,4;"20164";"bol"
